customer_id,age,gender,marital_status,dependents,education,employment_type,monthly_income,annual_income,existing_loan,existing_loan_amount,monthly_debt,debt_to_income_ratio,savings,bank_balance,assets,credit_history,previous_loans,previous_defaults,payment_history,credit_utilization,credit_score,loan_type,requested_loan_amount,loan_term,interest_rate,collateral_value,approved_loan_amount,loan_status
100025,34,Female,Divorced,0,Postgraduate,Self-employed,70694.96,823143.84,No,0.0,52069.72,0.7365,928227.37,734590.05,1222109.58,Good,3,1,82.44,0.1319,705,Home,466470.38,36,19.83,804920.15,0.0,Rejected
100026,34,Female,Married,1,Graduate,Business,52610.96,642603.82,No,0.0,3792.37,0.0721,164389.98,109573.11,606498.92,Average,2,0,100.0,0.3699,702,Personal,488515.37,72,16.65,0.0,0.0,Rejected
100027,43,Male,Married,1,Undergraduate,Salaried,99266.85,1211425.35,Yes,168326.25,7658.04,0.0771,59390.4,41492.52,5054654.47,Good,2,0,79.41,0.3539,715,Home,526269.73,24,13.88,823223.25,0.0,Rejected
100028,42,Female,Married,2,Graduate,Salaried,49462.14,616074.24,No,0.0,7135.53,0.1443,419277.28,587270.59,784024.71,Good,5,0,100.0,0.4905,692,Home,2867174.97,60,16.28,2826325.86,0.0,Rejected
100029,42,Male,Divorced,1,Graduate,Salaried,56881.14,679517.34,No,0.0,9793.93,0.1722,352189.06,329316.53,2902959.58,Good,0,0,99.57,0.0509,707,Education,991035.96,60,14.79,0.0,0.0,Rejected
100030,42,Male,Married,0,Graduate,Business,46598.46,538132.22,No,0.0,25867.72,0.5551,94114.2,110083.45,2057965.85,Good,2,0,86.95,0.3161,682,Business,577913.74,36,18.52,678202.41,0.0,Rejected
100031,59,Male,Married,4,Graduate,Contract,121029.78,1447957.78,Yes,625532.48,29512.2,0.2438,191388.68,178337.06,2080946.38,Average,1,0,58.52,0.1884,659,Home,226819.92,60,15.78,310253.15,0.0,Rejected
100032,34,Female,Married,2,Postgraduate,Self-employed,58938.21,666271.5,Yes,320342.3,20601.61,0.3495,360727.39,184744.97,4222689.54,Average,0,0,92.39,0.3546,640,Personal,2951422.92,48,18.0,0.0,0.0,Rejected
100033,33,Male,Divorced,1,Graduate,Salaried,46043.88,543237.06,No,0.0,16023.92,0.348,49023.85,27594.03,1795808.12,Good,1,1,72.97,0.2771,652,Home,251287.49,36,17.05,280055.56,0.0,Rejected
100034,30,Female,Married,1,Graduate,Self-employed,40696.05,457637.57,Yes,404400.33,12558.29,0.3086,237890.33,111536.43,1752686.72,Good,0,0,79.73,0.1802,773,Education,804842.92,36,15.08,0.0,0.0,Rejected
100035,44,Male,Single,1,Postgraduate,Contract,36084.9,434362.3,No,0.0,15304.53,0.4241,257936.71,203734.57,2541800.13,Good,6,0,54.17,0.2172,668,Personal,612001.82,36,17.94,0.0,0.0,Rejected
100036,49,Male,Married,4,Graduate,Business,95882.89,1201102.17,No,0.0,1901.61,0.02,860417.55,656209.17,1638954.46,Good,2,0,79.82,0.1362,713,Home,811198.07,60,15.32,1262738.96,0.0,Rejected
100037,37,Female,Single,3,Postgraduate,Salaried,62737.2,781247.0,No,0.0,23201.11,0.3698,1694277.83,531254.31,2650055.06,Good,2,2,53.43,0.0597,610,Home,471068.89,48,20.06,274309.51,0.0,Rejected
100038,30,Male,Single,2,Graduate,Salaried,330727.59,3699520.53,No,0.0,47383.71,0.1433,233959.39,149761.39,1393786.15,Average,2,2,51.28,0.02,668,Home,507727.69,60,14.21,757581.98,0.0,Rejected
100039,30,Male,Married,0,Undergraduate,Salaried,48564.74,588615.51,No,0.0,4534.94,0.0934,67953.5,48968.1,1840986.76,Average,0,0,60.92,0.6096,642,Personal,1037139.44,72,15.43,0.0,0.0,Rejected
100040,45,Male,Married,2,Undergraduate,Salaried,27915.1,368601.16,No,0.0,11994.62,0.4297,897900.07,554544.24,2639857.53,Good,4,0,98.58,0.3293,778,Home,1133502.23,12,16.31,796992.57,192900.0,Approved
100041,45,Male,Single,3,Graduate,Business,58269.38,683616.26,Yes,193878.54,30263.45,0.5194,106169.95,87028.66,2581923.98,Average,5,0,66.83,0.618,649,Auto,406810.3,48,18.51,519737.81,0.0,Rejected
100042,43,Male,Single,0,Postgraduate,Business,227310.95,2779043.4,Yes,295591.8,35210.71,0.1549,621467.7,385746.45,3038142.79,Good,3,0,73.62,0.2316,748,Home,683656.48,48,14.0,941012.55,0.0,Rejected
100043,31,Male,Married,1,Undergraduate,Self-employed,79400.67,999063.53,Yes,131731.81,28866.64,0.3636,382463.66,193870.26,1706798.71,Poor,3,2,69.99,0.2499,554,Education,442822.88,36,15.09,0.0,0.0,Rejected
100044,40,Male,Single,2,Undergraduate,Salaried,62569.87,705974.99,Yes,270114.14,19258.47,0.3078,514830.59,381303.71,2753003.84,Poor,1,0,91.86,0.2972,694,Education,470844.95,84,15.07,0.0,244400.0,Approved
100045,39,Male,Married,2,Undergraduate,Salaried,48819.21,594494.8,No,0.0,12621.47,0.2585,473878.93,418336.84,1037143.92,Average,1,2,56.93,0.4731,561,Auto,1000740.73,36,17.08,633633.41,0.0,Rejected
100046,40,Male,Married,0,Graduate,Contract,54652.34,680929.06,No,0.0,17008.57,0.3112,225948.88,172855.85,10887412.55,Average,3,1,83.81,0.6374,633,Auto,789401.05,12,14.94,1267810.64,0.0,Rejected
100047,47,Male,Married,2,Graduate,Salaried,126179.35,1494191.51,Yes,133271.94,39085.48,0.3098,666930.68,813146.76,4231020.6,Poor,1,1,73.57,0.2886,553,Education,823031.34,60,19.0,0.0,0.0,Rejected
100048,40,Male,Single,0,Undergraduate,Salaried,41169.76,465092.97,No,0.0,11866.26,0.2882,209808.88,140334.89,483234.36,Good,3,1,62.57,0.5007,610,Auto,687434.77,24,17.08,743412.44,0.0,Rejected
100049,45,Male,Divorced,1,Graduate,Contract,66254.12,835213.49,No,0.0,18696.1,0.2822,1535221.21,1250872.63,1426419.53,Good,2,0,66.65,0.2498,727,Home,103904.49,72,15.87,153856.67,0.0,Rejected
100050,39,Female,Divorced,0,Graduate,Self-employed,70632.32,787499.67,Yes,926342.81,2405.27,0.0341,495347.53,403921.1,2166083.48,Good,2,1,68.83,0.3607,650,Business,1271282.2,60,16.09,1044497.26,275800.0,Approved
100051,41,Male,Single,1,Graduate,Salaried,65503.55,714869.93,No,0.0,25694.01,0.3923,268399.82,272750.35,1306385.77,Average,2,0,68.63,0.4547,614,Home,721045.55,60,15.9,1163901.39,0.0,Rejected
100052,44,Male,Married,2,Graduate,Business,54942.87,621628.81,Yes,146707.98,8576.38,0.1561,143696.09,84837.54,3723083.02,Good,2,0,81.97,0.2686,688,Business,2402412.82,36,16.0,1361046.57,0.0,Rejected
100053,23,Male,Married,1,Graduate,Self-employed,29322.23,345987.89,No,0.0,11218.52,0.3826,660139.46,586813.98,622167.78,Good,2,0,56.81,0.4712,634,Education,721362.21,36,15.63,0.0,0.0,Rejected
100054,35,Male,Single,0,Graduate,Business,73323.78,824355.01,Yes,393848.74,30628.73,0.4177,179169.07,162772.88,1514527.4,Poor,1,0,90.53,0.1428,628,Auto,1596554.84,24,17.47,899989.59,0.0,Rejected
100055,33,Male,Married,1,Graduate,Self-employed,55985.66,639418.36,Yes,158713.01,21202.7,0.3787,98918.64,32003.02,1762309.31,Average,4,1,83.06,0.2255,646,Education,1272455.46,72,16.27,0.0,0.0,Rejected
100056,32,Female,Married,2,Graduate,Business,128178.39,1494601.78,Yes,990196.01,32196.11,0.2512,332056.73,243119.03,14655429.71,Average,1,1,68.33,0.5337,592,Personal,344336.48,60,16.13,0.0,0.0,Rejected
100057,35,Male,Married,2,Postgraduate,Business,59257.95,748856.67,Yes,295793.09,13305.87,0.2245,59702.08,52187.21,866088.02,Good,1,0,58.78,0.205,717,Auto,867818.28,84,15.78,924471.34,0.0,Rejected
100058,53,Male,Divorced,1,Postgraduate,Business,63219.0,772546.68,No,0.0,18829.89,0.2979,420592.06,311063.49,528699.12,Average,1,0,96.58,0.2842,701,Personal,2309906.47,36,16.63,0.0,0.0,Rejected
100059,29,Female,Single,4,Undergraduate,Business,70933.17,859022.64,No,0.0,31828.14,0.4487,174044.49,222189.29,770904.19,Good,3,2,64.57,0.0875,626,Business,635136.72,48,16.67,590550.78,0.0,Rejected
100060,48,Male,Divorced,1,Graduate,Salaried,84436.86,1080415.04,Yes,564886.39,42831.31,0.5073,1313721.42,1164142.91,8394070.61,Average,1,0,89.54,0.3209,665,Auto,471451.98,48,17.25,458396.89,0.0,Rejected
100061,21,Female,Divorced,1,Postgraduate,Salaried,24176.47,310019.55,No,0.0,4131.77,0.1709,239609.99,196852.36,3661992.82,Good,1,1,67.44,0.299,644,Home,1179871.69,60,15.89,872435.85,0.0,Rejected
100062,35,Female,Single,0,Graduate,Salaried,77215.43,891375.42,Yes,589600.79,27992.77,0.3625,457695.4,407541.82,2748510.92,Good,1,0,70.49,0.2175,726,Personal,462058.07,48,15.38,0.0,0.0,Rejected
100063,40,Male,Married,1,Graduate,Salaried,25587.28,294609.64,Yes,408015.94,9693.72,0.3788,840359.54,770263.38,1045694.8,Good,3,0,81.35,0.227,688,Personal,2344981.18,24,15.39,0.0,0.0,Rejected
100064,44,Male,Married,1,Graduate,Salaried,53074.71,620402.63,No,0.0,11232.71,0.2116,234416.06,181224.23,1401600.4,Good,3,1,65.66,0.0927,657,Education,432275.32,36,14.98,0.0,218800.0,Approved
100065,45,Male,Married,2,Undergraduate,Salaried,92513.42,1121595.46,Yes,700801.69,32497.6,0.3513,530234.64,352545.61,1280580.49,Average,0,1,57.64,0.6892,551,Home,523944.34,60,17.18,813577.41,0.0,Rejected
100066,46,Female,Single,2,Graduate,Self-employed,202876.07,2572106.84,Yes,178327.71,72746.19,0.3586,1190917.33,801673.17,915719.23,Good,1,0,89.86,0.2719,789,Business,1698276.87,24,16.16,1055893.4,0.0,Rejected
100067,35,Male,Married,1,Graduate,Contract,37655.2,432276.74,No,0.0,8198.29,0.2177,190534.2,98717.45,2630479.27,Good,3,1,91.19,0.237,688,Auto,2944348.66,36,17.26,1790005.94,0.0,Rejected
100068,33,Female,Married,0,Graduate,Salaried,41164.09,492362.95,No,0.0,15078.66,0.3663,342447.51,237678.75,2997199.62,Good,0,0,85.19,0.144,708,Auto,688457.46,36,16.37,1099425.64,0.0,Rejected
100069,47,Male,Married,0,Graduate,Self-employed,25744.75,307265.25,No,0.0,8304.42,0.3226,812376.85,485355.79,643559.46,Good,2,0,81.81,,731,Home,1044853.5,36,16.44,1507020.1,0.0,Rejected
100070,36,Male,Married,1,Graduate,Contract,43661.53,554763.84,No,0.0,4742.79,0.1086,231622.32,138180.03,849433.41,Good,0,1,67.86,0.2208,642,Home,1915840.15,48,13.91,2243334.42,0.0,Rejected
100071,25,Male,Married,2,Graduate,Salaried,229228.33,2850688.68,Yes,135960.59,114650.04,0.5002,221923.82,259958.32,3214399.76,Average,2,0,74.09,0.1727,765,Personal,311411.26,24,18.19,0.0,0.0,Rejected
100072,27,Male,Divorced,1,Graduate,Salaried,27127.63,311672.1,No,0.0,7370.35,0.2717,95493.07,51190.84,7512967.7,Average,3,0,92.41,0.313,666,Home,262372.72,36,16.57,268530.49,0.0,Rejected
100073,29,Male,Single,2,Graduate,Contract,12000.0,148812.76,Yes,176323.12,1763.5,0.147,59595.64,37442.94,1522803.46,Average,2,1,76.63,0.2211,614,Personal,239866.24,36,14.64,0.0,0.0,Rejected
100074,43,Female,Divorced,2,Postgraduate,Salaried,105578.98,1251931.44,Yes,313798.7,20271.82,0.192,150419.34,65256.62,5357863.93,Good,1,0,81.35,0.3408,737,Personal,1293158.19,36,16.65,0.0,0.0,Rejected
100075,39,Male,Married,1,Undergraduate,Business,104257.14,1265048.12,Yes,47783.23,45192.54,0.4335,51755.83,63298.16,1237389.26,Average,1,0,75.28,0.3151,677,Auto,670528.72,72,17.49,438459.96,468500.0,Approved
100076,45,Female,Divorced,2,Undergraduate,Salaried,66775.8,759793.27,No,0.0,21908.17,0.3281,594151.67,394286.13,398069.77,Good,4,1,98.49,0.3377,674,Education,602423.35,72,15.21,0.0,220100.0,Approved
100077,34,Female,Single,0,Graduate,Self-employed,69767.9,768320.34,No,0.0,22568.48,0.3235,117206.6,48258.98,3808762.17,Average,4,0,79.24,0.2011,695,Personal,427122.44,36,15.96,0.0,0.0,Rejected
100078,40,Male,Married,2,Graduate,Business,100179.86,1187472.12,Yes,385784.05,28085.25,0.2803,1333516.76,998852.73,1843921.31,Average,5,0,100.0,0.2498,713,Home,1354685.3,72,15.28,1048151.15,540000.0,Approved
100079,44,Male,Married,0,Undergraduate,Contract,101312.08,1166821.89,No,0.0,42260.24,0.4171,2621291.99,727654.52,1981466.08,Good,2,1,77.59,0.1776,679,Education,422192.8,60,14.88,0.0,0.0,Rejected
100080,35,Male,Married,1,Postgraduate,Salaried,37059.23,441197.04,Yes,319830.76,18626.21,0.5026,244242.22,240458.14,1580777.73,Poor,3,1,55.52,0.0254,635,Personal,995985.24,60,19.74,0.0,0.0,Rejected
100081,43,Male,Single,0,Graduate,Salaried,32683.25,381500.18,Yes,266825.37,15105.64,0.4622,351184.41,124484.95,539716.11,Poor,1,0,84.38,0.254,700,Home,1628684.19,84,16.94,1588758.41,0.0,Rejected
100082,31,Female,Married,2,Graduate,Salaried,37392.69,449572.2,No,0.0,14610.33,0.3907,332234.71,298116.39,1024000.82,Good,1,0,79.55,0.2909,736,Business,143484.01,36,15.64,143635.75,126100.0,Approved
100083,34,Female,Single,1,Undergraduate,Salaried,42545.08,515637.69,No,0.0,12284.18,0.2887,124569.53,83902.95,3385912.2,Average,5,0,74.34,0.4992,686,Home,191398.06,24,14.51,116772.29,0.0,Rejected
100084,34,Female,Single,0,Undergraduate,Salaried,96825.77,1196339.78,Yes,191057.6,37287.83,0.3851,48635.09,37977.77,3790699.82,Good,2,0,,0.1575,764,Personal,358708.32,24,17.05,0.0,296300.0,Approved
100085,26,Male,Married,0,Graduate,Salaried,116131.04,1434305.62,No,0.0,20550.23,0.177,90421.34,47003.74,786302.82,Good,2,0,77.21,0.1119,723,Home,2335800.17,24,15.62,1984361.77,700800.0,Approved
100086,43,Male,Divorced,2,Graduate,Self-employed,53836.95,680557.93,Yes,35056.81,22122.42,0.4109,31959.68,32350.68,2463994.88,Average,3,0,81.01,0.2162,705,Home,338047.3,48,17.37,365486.83,0.0,Rejected
100087,33,Male,Married,1,Postgraduate,Business,75923.65,914742.55,No,0.0,28857.06,0.3801,101972.88,64182.53,2526600.66,Average,1,0,61.29,0.5424,676,Education,560342.73,36,16.78,0.0,0.0,Rejected
100088,38,Female,Single,0,Graduate,Contract,61764.81,703772.54,No,0.0,8183.28,0.1325,1095541.61,226591.7,321908.89,Poor,4,1,63.86,0.0992,625,Education,1053688.3,48,15.94,0.0,0.0,Rejected
100089,43,Male,Single,0,Undergraduate,Salaried,41065.41,512823.22,No,0.0,11138.87,0.2712,181357.99,2000.0,2381431.19,Average,3,0,86.16,0.083,737,Home,824391.21,60,18.19,1250383.93,0.0,Rejected
100090,42,Male,Married,2,Graduate,Contract,40054.7,486103.98,No,0.0,14647.83,0.3657,294535.77,236928.21,1142627.87,Good,5,0,99.67,0.216,775,Personal,2657477.45,48,16.79,0.0,0.0,Rejected
100091,45,Male,Single,0,Graduate,Salaried,67388.92,834409.05,No,0.0,8941.92,0.1327,1139370.09,1241370.74,2651987.73,Good,4,0,86.04,0.3876,754,Business,467014.56,36,16.42,545058.79,0.0,Rejected
100092,37,Male,Married,2,Postgraduate,Contract,98556.75,1222376.87,Yes,205937.42,7687.52,0.078,152329.46,103008.12,2264724.17,Average,2,0,80.8,0.107,703,Personal,166505.84,84,15.76,0.0,154900.0,Approved
100093,34,Male,Single,3,Undergraduate,Business,81391.88,965915.05,Yes,207591.01,26393.83,0.3243,211307.16,141605.01,1218204.07,Good,5,0,75.52,0.3869,708,Auto,725357.63,60,15.37,875750.03,0.0,Rejected
100094,37,Male,Single,0,Postgraduate,Salaried,58199.22,690269.76,Yes,276981.08,9302.89,0.1598,177488.8,94020.48,1056664.41,Good,3,0,53.65,0.3413,685,Home,186802.38,48,15.51,185358.28,0.0,Rejected
100095,21,Female,Married,1,Graduate,Contract,139902.4,1816307.64,Yes,228056.25,56793.61,0.406,1235412.16,946833.5,5301056.72,Good,3,0,100.0,0.3361,724,Education,2261382.7,60,16.25,0.0,0.0,Rejected
100096,24,Female,Single,1,Postgraduate,Salaried,153545.19,1744543.5,No,0.0,74797.93,0.4871,388334.43,316370.0,607230.44,Good,3,0,72.02,0.4761,716,Personal,488152.04,12,18.84,0.0,445600.0,Approved
100097,25,Male,Married,3,Undergraduate,Business,,333597.15,Yes,139797.61,3305.08,0.1167,456057.67,350148.38,818615.66,Good,2,0,74.47,0.128,663,Auto,992266.23,60,17.55,1197162.56,0.0,Rejected
100098,28,Female,Married,1,Graduate,Self-employed,33845.21,420446.59,Yes,1074017.68,6500.27,0.1921,531355.53,203022.62,987443.17,Good,1,0,76.68,0.639,629,Business,998711.99,36,15.56,898417.59,0.0,Rejected
100099,42,Male,Single,0,Postgraduate,Salaried,29284.45,348639.64,Yes,272638.08,17118.71,0.5846,239667.51,70531.66,2253043.45,Good,3,0,76.4,0.3824,679,Home,443757.2,36,20.11,649777.22,0.0,Rejected
100100,29,Female,Married,1,Postgraduate,Salaried,106735.22,1251174.61,No,0.0,11061.26,0.1036,193244.66,60023.46,1861098.84,Good,0,0,86.24,0.308,681,Home,420849.75,60,16.55,511961.48,0.0,Rejected
100101,34,Male,Married,1,Undergraduate,Salaried,55688.04,690189.53,No,0.0,5528.19,0.0993,359173.78,202173.08,1335165.21,Poor,0,0,69.63,0.1134,636,Auto,447137.56,24,17.89,632778.98,0.0,Rejected
100102,51,Male,Married,1,Graduate,Salaried,67123.98,850348.86,Yes,213944.17,13696.19,0.204,213662.97,105127.2,1024451.16,Good,1,0,100.0,0.5756,723,Auto,1885960.35,60,16.16,2945377.92,624300.0,Approved
100103,34,Male,Single,2,Undergraduate,Contract,90566.95,1094619.71,No,0.0,12011.55,0.1326,273735.53,211392.47,2762311.55,Average,1,1,66.55,0.5634,616,Personal,950069.29,60,15.54,0.0,0.0,Rejected
100104,45,Male,Married,1,Postgraduate,Salaried,64589.73,726148.7,No,0.0,16917.05,0.2619,581021.9,239841.71,7330706.6,Average,2,0,83.62,0.7186,645,Personal,453438.94,12,17.36,0.0,0.0,Rejected
100105,29,Male,Married,2,Graduate,Self-employed,45631.73,550272.37,No,0.0,15036.62,0.3295,303034.1,236995.2,5607579.38,Good,1,0,56.81,0.4626,648,Personal,820346.49,84,17.79,0.0,203100.0,Approved
100106,36,Female,Single,1,Undergraduate,Self-employed,35536.08,433591.81,No,0.0,9621.93,0.2708,438114.4,451697.51,633204.86,Average,4,0,87.86,0.1648,716,Personal,283141.02,60,16.88,0.0,0.0,Rejected
100107,28,Female,Single,3,Graduate,Self-employed,57092.35,656619.05,Yes,333441.19,10209.79,0.1788,552626.21,577992.11,1827229.3,Poor,3,0,84.29,0.605,648,Personal,354192.24,72,16.99,0.0,0.0,Rejected
100108,35,Male,Single,2,Undergraduate,Salaried,100963.48,1286770.76,No,0.0,38812.7,0.3844,60038.77,59538.71,1021697.28,Average,2,0,73.81,0.4063,651,Education,194641.36,12,16.15,0.0,205500.0,Approved
100109,46,Male,Single,1,Graduate,Self-employed,25656.77,314747.23,No,0.0,10916.21,0.4255,65839.77,41338.8,2261359.87,Good,1,2,78.4,0.5441,596,Personal,755522.39,36,15.64,0.0,0.0,Rejected
100110,21,Female,Single,0,Postgraduate,Contract,49698.56,572687.06,Yes,190864.0,7511.08,0.1511,102100.86,83173.94,3196146.36,Poor,2,0,89.8,0.1228,684,Business,219908.62,36,14.97,299356.45,0.0,Rejected
100111,42,Male,Divorced,0,Undergraduate,Salaried,22437.24,275464.61,No,0.0,5742.29,0.2559,47398.71,34670.98,3923819.58,Average,6,0,64.0,0.3485,673,Business,951318.77,60,16.61,1220992.92,0.0,Rejected
100112,40,Male,Married,2,Undergraduate,Salaried,107901.36,1323703.47,Yes,233834.96,54102.01,0.5014,103509.72,91866.81,7524823.11,Good,0,1,,0.7032,683,Auto,1714383.32,60,17.96,3001679.09,0.0,Rejected
100113,32,Male,Married,0,Undergraduate,Contract,26010.25,304302.53,Yes,110239.57,4990.93,0.1919,1251138.13,771921.81,2780447.83,Good,1,0,73.87,0.3772,655,Personal,175922.37,72,13.31,0.0,86700.0,Approved
100114,24,Male,Single,1,Graduate,Contract,26854.65,305698.63,Yes,407808.31,16310.1,0.6073,387284.38,254995.63,1825236.4,Average,3,0,74.88,0.8913,641,Auto,1317156.42,12,19.17,2082467.23,0.0,Rejected
100115,39,Male,Single,1,Postgraduate,Self-employed,102829.69,1219604.74,Yes,226039.16,2592.33,0.0252,474648.46,338152.25,442774.69,Good,3,1,60.39,0.3251,686,Personal,325859.12,36,12.88,0.0,334800.0,Approved
100116,33,Male,Married,1,Postgraduate,Business,45580.09,532896.04,No,0.0,17133.58,0.3759,337457.78,306974.73,2912451.18,Good,3,0,69.68,0.393,668,Home,494969.96,60,17.94,601574.86,0.0,Rejected
100117,40,Male,Married,1,Graduate,Contract,23924.33,290192.53,Yes,261568.0,6726.24,0.2811,330401.37,390154.35,3060003.84,Average,0,1,73.62,0.1209,632,Education,796367.52,36,16.81,0.0,0.0,Rejected
100118,38,Female,Divorced,2,Graduate,Salaried,86942.61,1031512.1,Yes,571165.05,5467.28,0.0629,458078.28,327719.22,7959924.96,Good,2,0,78.2,0.2386,707,Auto,961642.99,24,16.97,499135.74,0.0,Rejected
100119,54,Female,Single,0,Undergraduate,Salaried,69144.72,846565.2,No,0.0,34626.5,0.5008,358610.16,271840.46,6342498.51,Good,2,1,65.01,0.8092,594,Home,258351.61,48,16.09,310173.33,0.0,Rejected
100120,36,Female,Single,1,Graduate,Self-employed,188845.29,2287890.5,Yes,436898.27,26920.09,0.1426,528095.64,382459.03,1870358.53,Good,1,1,63.55,0.5109,705,Personal,233280.9,48,16.42,0.0,219200.0,Approved
