customer_id,age,gender,marital_status,dependents,education,employment_type,monthly_income,annual_income,existing_loan,existing_loan_amount,monthly_debt,debt_to_income_ratio,savings,bank_balance,assets,credit_history,previous_loans,previous_defaults,payment_history,credit_utilization,credit_score,risk_level
100037,37,Female,Single,3,Postgraduate,Salaried,62737.2,781247.0,No,0.0,23201.11,0.3698,1694277.83,531254.31,2650055.06,Good,2,2,53.43,0.0597,610,High
100038,30,Male,Single,2,Graduate,Salaried,330727.59,3699520.53,No,0.0,47383.71,0.1433,233959.39,149761.39,1393786.15,Average,2,2,51.28,0.02,668,High
100039,30,Male,Married,0,Undergraduate,Salaried,48564.74,588615.51,No,0.0,4534.94,0.0934,67953.5,48968.1,1840986.76,Average,0,0,60.92,0.6096,642,High
100040,45,Male,Married,2,Undergraduate,Salaried,,368601.16,No,0.0,11994.62,0.4297,897900.07,554544.24,2639857.53,Good,4,0,98.58,0.3293,778,High
100041,45,Male,Single,3,Graduate,Business,58269.38,683616.26,Yes,193878.54,30263.45,0.5194,106169.95,87028.66,2581923.98,Average,5,0,66.83,0.618,649,High
100042,43,Male,Single,0,Postgraduate,Business,227310.95,2779043.4,Yes,295591.8,35210.71,0.1549,621467.7,385746.45,3038142.79,Good,3,0,73.62,0.2316,748,High
100043,31,Male,Married,1,Undergraduate,Self-employed,79400.67,999063.53,Yes,131731.81,28866.64,0.3636,382463.66,193870.26,1706798.71,Poor,3,2,69.99,0.2499,554,High
100044,40,Male,Single,2,Undergraduate,Salaried,62569.87,705974.99,Yes,270114.14,19258.47,0.3078,514830.59,381303.71,2753003.84,Poor,1,0,91.86,0.2972,694,High
100045,39,Male,Married,2,Undergraduate,Salaried,48819.21,594494.8,No,0.0,12621.47,0.2585,473878.93,418336.84,1037143.92,Average,1,2,56.93,0.4731,561,High
100046,40,Male,Married,0,Graduate,Contract,54652.34,680929.06,No,0.0,17008.57,0.3112,225948.88,172855.85,10887412.55,Average,3,1,83.81,0.6374,633,High
100047,47,Male,Married,2,Graduate,Salaried,126179.35,1494191.51,Yes,133271.94,39085.48,0.3098,666930.68,813146.76,4231020.6,Poor,1,1,73.57,0.2886,553,High
100048,40,Male,Single,0,Undergraduate,Salaried,41169.76,465092.97,No,0.0,11866.26,0.2882,209808.88,140334.89,483234.36,Good,3,1,62.57,0.5007,610,High
100049,45,Male,Divorced,1,Graduate,Contract,66254.12,835213.49,No,0.0,18696.1,0.2822,1535221.21,1250872.63,1426419.53,Good,2,0,66.65,0.2498,727,High
100050,39,Female,Divorced,0,Graduate,Self-employed,70632.32,787499.67,Yes,926342.81,2405.27,0.0341,495347.53,403921.1,2166083.48,Good,2,1,68.83,0.3607,650,High
100051,41,Male,Single,1,Graduate,Salaried,65503.55,714869.93,No,0.0,25694.01,0.3923,268399.82,272750.35,1306385.77,Average,2,0,68.63,0.4547,614,High
100052,44,Male,Married,2,Graduate,Business,54942.87,621628.81,Yes,146707.98,8576.38,0.1561,143696.09,84837.54,3723083.02,Good,2,0,81.97,0.2686,688,High
100053,23,Male,Married,1,Graduate,Self-employed,29322.23,345987.89,No,0.0,11218.52,0.3826,660139.46,586813.98,622167.78,Good,2,0,56.81,0.4712,634,High
100054,35,Male,Single,0,Graduate,Business,73323.78,824355.01,Yes,393848.74,30628.73,0.4177,179169.07,162772.88,1514527.4,Poor,1,0,90.53,0.1428,628,High
100055,33,Male,Married,1,Graduate,Self-employed,55985.66,639418.36,Yes,158713.01,21202.7,0.3787,98918.64,32003.02,1762309.31,Average,4,1,83.06,0.2255,646,High
100056,32,Female,Married,2,Graduate,Business,128178.39,1494601.78,Yes,990196.01,32196.11,0.2512,332056.73,243119.03,14655429.71,Average,1,1,68.33,0.5337,592,High
100057,35,Male,Married,2,Postgraduate,Business,59257.95,748856.67,Yes,295793.09,13305.87,0.2245,59702.08,52187.21,866088.02,Good,1,0,58.78,0.205,717,High
100058,53,Male,Divorced,1,Postgraduate,Business,63219.0,772546.68,No,0.0,18829.89,0.2979,420592.06,311063.49,528699.12,Average,1,0,96.58,0.2842,701,Medium
100059,29,Female,Single,4,Undergraduate,Business,70933.17,859022.64,No,0.0,31828.14,0.4487,174044.49,222189.29,770904.19,Good,3,2,64.57,0.0875,626,High
100060,48,Male,Divorced,1,Graduate,Salaried,84436.86,1080415.04,Yes,564886.39,42831.31,0.5073,1313721.42,1164142.91,8394070.61,Average,1,0,89.54,0.3209,665,High
100061,21,Female,Divorced,1,Postgraduate,Salaried,24176.47,310019.55,No,0.0,4131.77,0.1709,239609.99,196852.36,3661992.82,Good,1,1,67.44,0.299,644,High
100062,35,Female,Single,0,Graduate,Salaried,77215.43,891375.42,Yes,589600.79,27992.77,0.3625,457695.4,407541.82,2748510.92,Good,1,0,70.49,0.2175,726,High
100063,40,Male,Married,1,Graduate,Salaried,25587.28,294609.64,Yes,408015.94,9693.72,0.3788,840359.54,770263.38,1045694.8,Good,3,0,81.35,0.227,688,High
100064,44,Male,Married,1,Graduate,Salaried,53074.71,620402.63,No,0.0,11232.71,0.2116,234416.06,181224.23,1401600.4,Good,3,1,65.66,0.0927,657,High
100065,45,Male,Married,2,Undergraduate,Salaried,92513.42,1121595.46,Yes,700801.69,32497.6,0.3513,530234.64,352545.61,1280580.49,Average,0,1,57.64,0.6892,551,High
100066,46,Female,Single,2,Graduate,Self-employed,202876.07,2572106.84,Yes,178327.71,72746.19,0.3586,1190917.33,801673.17,915719.23,Good,1,0,89.86,0.2719,789,Low
100067,35,Male,Married,1,Graduate,Contract,37655.2,432276.74,No,0.0,8198.29,0.2177,190534.2,98717.45,2630479.27,Good,3,1,91.19,0.237,688,High
100068,33,Female,Married,0,Graduate,Salaried,41164.09,492362.95,No,0.0,15078.66,0.3663,342447.51,237678.75,2997199.62,Good,0,0,85.19,0.144,708,Medium
100069,47,Male,Married,0,Graduate,Self-employed,25744.75,307265.25,No,0.0,8304.42,0.3226,812376.85,485355.79,643559.46,Good,2,0,81.81,0.1648,731,Medium
100070,36,Male,Married,1,Graduate,Contract,43661.53,554763.84,No,0.0,4742.79,0.1086,231622.32,138180.03,849433.41,Good,0,1,67.86,0.2208,642,High
100071,25,Male,Married,2,Graduate,Salaried,229228.33,2850688.68,Yes,135960.59,114650.04,0.5002,221923.82,259958.32,3214399.76,Average,2,0,74.09,0.1727,765,High
100072,27,Male,Divorced,1,Graduate,Salaried,27127.63,311672.1,No,0.0,7370.35,0.2717,95493.07,51190.84,7512967.7,Average,3,0,92.41,0.313,666,Medium
100073,29,Male,Single,2,Graduate,Contract,12000.0,148812.76,Yes,176323.12,1763.5,0.147,59595.64,37442.94,1522803.46,Average,2,1,76.63,0.2211,614,High
100074,43,Female,Divorced,2,Postgraduate,Salaried,105578.98,1251931.44,Yes,313798.7,20271.82,0.192,150419.34,65256.62,5357863.93,Good,1,0,81.35,0.3408,737,Medium
100075,39,Male,Married,1,Undergraduate,Business,104257.14,1265048.12,Yes,47783.23,45192.54,0.4335,51755.83,63298.16,1237389.26,Average,1,0,75.28,0.3151,677,High
100076,45,Female,Divorced,2,Undergraduate,Salaried,66775.8,759793.27,No,0.0,21908.17,0.3281,594151.67,394286.13,398069.77,Good,4,1,98.49,0.3377,674,High
100077,34,Female,Single,0,Graduate,Self-employed,69767.9,768320.34,No,0.0,22568.48,0.3235,117206.6,48258.98,3808762.17,Average,4,0,79.24,0.2011,695,High
100078,40,Male,Married,2,Graduate,Business,100179.86,1187472.12,Yes,385784.05,28085.25,0.2803,1333516.76,998852.73,1843921.31,Average,5,0,100.0,0.2498,713,Medium
100079,44,Male,Married,0,Undergraduate,Contract,101312.08,1166821.89,No,0.0,42260.24,0.4171,2621291.99,727654.52,1981466.08,Good,2,1,77.59,0.1776,679,High
100080,35,Male,Married,1,Postgraduate,Salaried,37059.23,441197.04,Yes,319830.76,18626.21,0.5026,244242.22,240458.14,1580777.73,Poor,3,1,55.52,0.0254,635,High
100081,43,Male,Single,0,Graduate,Salaried,32683.25,381500.18,Yes,266825.37,15105.64,0.4622,351184.41,124484.95,539716.11,Poor,1,0,84.38,0.254,700,High
100082,31,Female,Married,2,Graduate,Salaried,37392.69,449572.2,No,0.0,14610.33,0.3907,332234.71,298116.39,1024000.82,Good,1,0,79.55,0.2909,736,High
100083,34,Female,Single,1,Undergraduate,Salaried,42545.08,515637.69,No,0.0,12284.18,0.2887,124569.53,83902.95,3385912.2,Average,5,0,74.34,0.4992,686,High
100084,34,Female,Single,0,Undergraduate,Salaried,96825.77,1196339.78,Yes,191057.6,37287.83,0.3851,48635.09,37977.77,3790699.82,Good,2,0,87.84,0.1575,764,High
100085,26,Male,Married,0,Graduate,Salaried,116131.04,1434305.62,No,0.0,20550.23,0.177,90421.34,47003.74,786302.82,Good,2,0,77.21,0.1119,723,Medium
100086,43,Male,Divorced,2,Graduate,Self-employed,53836.95,680557.93,Yes,35056.81,22122.42,0.4109,31959.68,32350.68,2463994.88,Average,3,0,81.01,0.2162,705,High
100087,33,Male,Married,1,Postgraduate,Business,75923.65,914742.55,No,0.0,28857.06,0.3801,101972.88,64182.53,2526600.66,Average,1,0,61.29,0.5424,676,High
100088,38,Female,Single,0,Graduate,Contract,61764.81,703772.54,No,0.0,8183.28,0.1325,1095541.61,226591.7,321908.89,Poor,4,1,63.86,0.0992,625,High
100089,43,Male,Single,0,Undergraduate,Salaried,41065.41,512823.22,No,0.0,11138.87,0.2712,181357.99,2000.0,2381431.19,Average,3,0,86.16,0.083,737,Medium
100090,42,Male,Married,2,Graduate,Contract,40054.7,486103.98,No,0.0,14647.83,0.3657,294535.77,236928.21,1142627.87,Good,5,0,99.67,0.216,775,Low
100091,45,Male,Single,0,Graduate,Salaried,67388.92,834409.05,No,0.0,8941.92,0.1327,1139370.09,1241370.74,2651987.73,Good,4,0,86.04,0.3876,754,Medium
100092,37,Male,Married,2,Postgraduate,Contract,98556.75,1222376.87,Yes,205937.42,7687.52,0.078,152329.46,103008.12,2264724.17,Average,2,0,80.8,0.107,703,High
100093,34,Male,Single,3,Undergraduate,Business,81391.88,965915.05,Yes,207591.01,26393.83,0.3243,211307.16,141605.01,1218204.07,Good,5,0,75.52,0.3869,708,High
100094,37,Male,Single,0,Postgraduate,Salaried,58199.22,690269.76,Yes,276981.08,9302.89,0.1598,177488.8,94020.48,1056664.41,Good,3,0,53.65,0.3413,685,High
100095,21,Female,Married,1,Graduate,Contract,139902.4,1816307.64,Yes,228056.25,56793.61,0.406,1235412.16,946833.5,5301056.72,Good,3,0,100.0,0.3361,724,High
100096,24,Female,Single,1,Postgraduate,Salaried,153545.19,1744543.5,No,0.0,74797.93,0.4871,388334.43,316370.0,607230.44,Good,3,0,72.02,0.4761,716,High
100097,25,Male,Married,3,Undergraduate,Business,28330.61,333597.15,Yes,139797.61,3305.08,0.1167,456057.67,350148.38,818615.66,Good,2,0,74.47,0.128,663,High
100098,28,Female,Married,1,Graduate,Self-employed,33845.21,420446.59,Yes,1074017.68,6500.27,0.1921,531355.53,203022.62,987443.17,Good,1,0,76.68,0.639,629,High
100099,42,Male,Single,0,Postgraduate,Salaried,29284.45,348639.64,Yes,272638.08,17118.71,0.5846,239667.51,70531.66,2253043.45,Good,3,0,76.4,0.3824,679,High
100100,29,Female,Married,1,Postgraduate,Salaried,106735.22,1251174.61,No,0.0,11061.26,0.1036,193244.66,60023.46,1861098.84,Good,0,0,86.24,0.308,681,Medium
100101,34,Male,Married,1,Undergraduate,Salaried,55688.04,690189.53,No,0.0,5528.19,0.0993,359173.78,202173.08,1335165.21,Poor,0,0,69.63,0.1134,636,High
100102,51,Male,Married,1,Graduate,Salaried,67123.98,850348.86,Yes,213944.17,13696.19,0.204,213662.97,105127.2,1024451.16,Good,1,0,100.0,0.5756,723,Medium
100103,34,Male,Single,2,Undergraduate,Contract,90566.95,1094619.71,No,0.0,12011.55,0.1326,273735.53,211392.47,2762311.55,Average,1,1,66.55,0.5634,616,High
100104,45,Male,Married,1,Postgraduate,Salaried,64589.73,726148.7,No,0.0,16917.05,0.2619,581021.9,239841.71,7330706.6,Average,2,0,83.62,0.7186,645,High
100105,29,Male,Married,2,Graduate,Self-employed,45631.73,550272.37,No,0.0,15036.62,0.3295,303034.1,236995.2,5607579.38,Good,1,0,56.81,0.4626,648,High
100106,36,Female,Single,1,Undergraduate,Self-employed,35536.08,433591.81,No,0.0,9621.93,0.2708,438114.4,451697.51,633204.86,Average,4,0,87.86,0.1648,716,High
100107,28,Female,Single,3,Graduate,Self-employed,57092.35,656619.05,Yes,333441.19,10209.79,0.1788,552626.21,577992.11,1827229.3,Poor,3,0,84.29,0.605,648,High
100108,35,Male,Single,2,Undergraduate,Salaried,100963.48,1286770.76,No,0.0,38812.7,0.3844,60038.77,59538.71,1021697.28,Average,2,0,73.81,0.4063,651,High
100109,46,Male,Single,1,Graduate,Self-employed,25656.77,314747.23,No,0.0,10916.21,0.4255,65839.77,41338.8,2261359.87,Good,1,2,78.4,0.5441,596,High
100110,21,Female,Single,0,Postgraduate,Contract,49698.56,572687.06,Yes,190864.0,7511.08,0.1511,102100.86,83173.94,3196146.36,Poor,2,0,89.8,0.1228,684,High
100111,42,Male,Divorced,0,Undergraduate,Salaried,22437.24,275464.61,No,0.0,5742.29,0.2559,47398.71,34670.98,3923819.58,Average,6,0,64.0,0.3485,673,High
100112,40,Male,Married,2,Undergraduate,Salaried,107901.36,1323703.47,Yes,233834.96,54102.01,0.5014,103509.72,91866.81,7524823.11,Good,0,1,68.88,0.7032,683,High
100113,32,Male,Married,0,Undergraduate,Contract,26010.25,304302.53,Yes,110239.57,4990.93,0.1919,1251138.13,771921.81,2780447.83,Good,1,0,73.87,0.3772,655,High
100114,24,Male,Single,1,Graduate,Contract,,305698.63,Yes,407808.31,16310.1,0.6073,387284.38,254995.63,1825236.4,Average,3,0,74.88,0.8913,641,High
100115,39,Male,Single,1,Postgraduate,Self-employed,102829.69,1219604.74,Yes,226039.16,2592.33,0.0252,474648.46,338152.25,442774.69,Good,3,1,60.39,0.3251,686,High
100116,33,Male,Married,1,Postgraduate,Business,45580.09,532896.04,No,0.0,17133.58,0.3759,337457.78,306974.73,2912451.18,Good,3,0,69.68,0.393,668,High
100117,40,Male,Married,1,Graduate,Contract,23924.33,290192.53,Yes,261568.0,6726.24,0.2811,330401.37,390154.35,3060003.84,Average,0,1,73.62,0.1209,632,High
100118,38,Female,Divorced,2,Graduate,Salaried,86942.61,1031512.1,Yes,571165.05,5467.28,0.0629,458078.28,327719.22,7959924.96,Good,2,0,78.2,0.2386,707,Medium
100119,54,Female,Single,0,Undergraduate,Salaried,69144.72,846565.2,No,0.0,34626.5,0.5008,358610.16,271840.46,6342498.51,Good,2,1,65.01,0.8092,594,High
100120,36,Female,Single,1,Graduate,Self-employed,188845.29,2287890.5,Yes,436898.27,26920.09,0.1426,528095.64,382459.03,1870358.53,Good,1,1,63.55,0.5109,705,High
100121,28,Male,Married,2,Graduate,Business,33127.7,409858.31,No,0.0,7194.57,0.2172,75636.51,101168.93,955556.57,Good,0,0,74.17,0.6327,663,High
100122,40,Female,Married,1,Undergraduate,Business,37670.68,463020.42,Yes,444032.91,15250.62,0.4048,527446.42,274767.68,769610.04,Good,2,0,70.71,0.418,722,High
100123,40,Female,Single,1,Graduate,Self-employed,43141.72,538990.82,No,0.0,18152.76,0.4208,753185.95,351999.9,5176769.2,Good,1,0,61.35,0.767,553,High
100124,52,Male,Single,0,Undergraduate,Salaried,111387.63,1289181.92,Yes,769557.74,48123.86,0.432,80556.72,68552.47,1016508.32,Good,3,0,100.0,0.0531,782,Low
100125,46,Male,Single,0,Graduate,Salaried,21859.44,273670.1,Yes,141379.94,8643.87,0.3954,200074.32,184671.56,1178663.05,Good,2,0,91.41,0.1849,744,Medium
100126,42,Male,Married,1,Undergraduate,Business,53044.3,687197.34,No,0.0,14113.88,0.2661,238435.06,128091.41,678578.67,Good,2,1,60.62,0.4588,600,High
100127,53,Male,Married,1,Graduate,Self-employed,74082.92,933573.39,No,0.0,16283.25,0.2198,226715.3,182262.35,13175375.19,Average,2,1,60.11,0.1345,596,High
100128,26,Female,Married,1,Graduate,Salaried,123207.06,1388886.74,Yes,305734.57,8613.79,0.0699,268606.43,194210.22,2735648.75,Good,2,1,88.61,0.517,685,High
100129,32,Female,Married,0,Graduate,Business,39807.25,509892.53,Yes,575200.03,6954.41,0.1747,769617.32,515863.77,2329032.15,Good,1,0,84.42,0.483,677,High
100130,29,Female,Married,0,Postgraduate,Self-employed,74847.33,926578.41,No,0.0,1961.13,0.0262,884171.84,515721.92,2671930.12,Poor,3,0,100.0,0.2792,723,Medium
100131,34,Female,Married,1,Graduate,Salaried,45125.25,564103.24,No,0.0,26681.71,0.5913,205023.51,154270.71,1048223.7,Good,3,0,74.61,0.3706,723,High
100132,24,Male,Married,1,Postgraduate,Business,32373.17,375743.89,Yes,225501.35,15235.26,0.4706,40526.94,7940.75,4957534.87,Good,2,0,76.65,0.197,717,High
100133,44,Female,Married,2,Graduate,Salaried,59903.96,676336.78,No,0.0,10630.18,0.1775,92103.2,53304.12,1583759.16,Poor,3,1,81.49,0.1568,625,High
100134,36,Female,Divorced,1,Postgraduate,Business,54588.84,694511.34,Yes,584075.82,11534.94,0.2113,1022795.2,1321625.39,2108248.96,Good,4,0,62.89,0.3829,685,High
100135,23,Male,Single,1,Graduate,Salaried,84043.68,988885.25,No,0.0,4220.89,0.0502,94550.29,72016.01,23546101.64,Average,1,0,58.83,0.1581,674,High
100136,28,Male,Married,1,Graduate,Self-employed,188361.69,2183516.65,No,0.0,33041.82,0.1754,79705.39,39003.31,1032742.13,Average,2,0,78.18,0.309,664,High
100137,41,Male,Married,0,Postgraduate,Contract,81044.32,910394.98,Yes,295461.63,11271.23,0.1391,249438.1,260662.95,2962287.69,Poor,3,0,97.48,0.4187,700,High
100138,46,Male,Married,0,Graduate,Self-employed,63528.76,708493.89,Yes,223513.84,17613.82,0.2773,224802.74,226738.8,12667046.97,Average,1,0,79.89,0.4176,660,High
100139,58,Male,Divorced,0,Graduate,Self-employed,86033.67,1032429.77,No,0.0,34018.4,0.3954,67303.42,60744.14,1393985.83,Good,2,0,73.64,0.0333,733,High
100140,67,Male,Married,1,Postgraduate,Self-employed,42297.29,526384.62,No,0.0,7839.7,0.1853,342352.95,289221.23,1078420.69,Poor,2,1,64.28,0.2413,602,High
100141,42,Male,Married,0,Graduate,Business,,1190592.89,Yes,334614.51,27376.28,0.2793,147559.69,84876.01,1934338.1,Poor,2,0,100.0,0.0854,740,Medium
100142,28,Male,Single,1,Graduate,Business,44152.39,526798.97,No,0.0,7369.91,0.1669,605374.23,504059.89,840145.93,Good,0,0,80.94,0.4411,647,High
100143,21,Male,Married,0,Undergraduate,Business,75794.54,959214.88,Yes,550038.16,12335.62,0.1628,107142.46,77740.53,7951925.58,Good,1,1,57.62,0.7039,628,High
100144,41,Female,Single,0,Graduate,Business,56048.81,713104.04,Yes,383841.37,15481.32,0.2762,366325.8,307375.15,2220043.58,Good,3,0,72.44,0.0781,780,Medium
100145,30,Female,Married,2,Graduate,Salaried,54662.78,631370.17,No,0.0,10970.28,0.2007,93320.51,63504.56,3426754.33,Good,3,1,70.66,0.0699,706,High
100146,34,Female,Divorced,0,Graduate,Salaried,152004.22,1838117.72,Yes,708557.92,52307.13,0.3441,582876.83,298126.72,2069683.65,Good,2,1,78.3,0.5232,675,High
100147,32,Male,Married,1,Graduate,Salaried,38694.0,466702.46,No,0.0,5054.6,0.1306,99753.74,101420.04,2009907.5,Poor,5,0,62.73,0.1506,639,High
100148,37,Male,Married,2,Undergraduate,Self-employed,82507.36,977696.38,Yes,338399.92,15235.83,0.1847,177949.73,143429.8,1245342.6,Poor,1,0,79.69,0.4869,645,High
100149,49,Female,Single,3,Postgraduate,Business,49922.99,610287.59,Yes,104478.82,8853.33,0.1773,253996.2,136546.1,11636922.72,Average,5,0,100.0,0.2303,722,Medium
100150,40,Male,Married,1,Undergraduate,Self-employed,103714.56,1318797.87,No,0.0,9055.29,0.0873,718855.24,526986.61,1769454.9,Average,1,0,,0.3251,721,Medium
100151,36,Female,Single,0,Graduate,Salaried,30618.07,337728.25,Yes,636581.95,20138.93,0.6577,134613.34,93021.64,668567.97,Good,1,1,52.25,0.384,613,High
100152,28,Female,Single,1,Graduate,Self-employed,52607.52,637208.29,No,0.0,19632.17,0.3732,251630.06,154259.55,1939570.11,Average,2,0,100.0,0.052,710,Medium
100153,21,Male,Divorced,0,Graduate,Salaried,38109.17,460039.33,Yes,222373.75,9446.27,0.2479,164274.84,64811.36,3258247.76,Good,6,0,79.39,0.4882,670,Medium
100154,33,Male,Married,0,Graduate,Self-employed,150333.59,1786351.03,Yes,372643.93,45598.76,0.3033,120999.86,134923.46,2081496.27,Poor,2,0,85.76,0.02,754,Medium
100155,37,Male,Single,3,Graduate,Self-employed,128601.07,1590638.53,No,0.0,33371.88,0.2595,234334.27,82963.0,7527865.78,Good,3,0,100.0,0.1012,744,Low
100156,56,Male,Married,0,Graduate,Self-employed,42865.4,508889.62,No,0.0,7512.75,0.1753,113199.46,48383.32,177059.45,Average,1,0,91.54,0.1596,681,High
